sample_id,sample_index,gt_nearfp_visual_cosine,group
-rqhMzJRYoc_000030,92,0.9484089932576553,B_close
-t-htrAtNvM_000030,93,0.9069233555586254,B_close
-u-40BIU1HE_000003,94,0.950473227621446,B_close
-uD3ZbhFTnk_000077,95,0.9836795782070513,B_close
-vAtBe4LMCQ_000063,96,0.939926142987603,B_close
-wi8kPVJLcw_000205,97,0.5792005716598493,C_aud_better
-wnDAPcoPsk_000030,98,0.8551258845052396,transition
-xQbyezhw_k_000040,99,0.9464750557993278,B_close
-yicwYUKKuo_000304,100,0.966019157027417,B_close
-z3AAq0FK-0_000001,101,0.7964677730861837,B_close
-z4OZ7ls5Bo_000540,102,0.7821876846703378,transition
-zCtwbk005g_000030,103,0.9616441714347721,B_close
-zSyfcXmHdk_001083,104,0.9909736263486627,B_close
-zgGL2o1jqw_000080,105,0.8246779977331217,B_close
-ziWHyk_fYQ_000106,106,0.9266061634125294,B_close
0-jDld11jhw_000093,107,0.9520038568248814,B_close
007P6bFgRCU_000010,108,0.9291292210770772,B_close
00QQLLcny14_000083,109,0.9323841675796739,B_close
00wORCOKNHw_000014,110,0.9463994498338062,B_close
00z0M1DJyAw_000090,111,0.9816219115088769,transition
01SaXyGY5SM_000030,112,0.9254875470467202,B_close
02UvvE1oA1I_000030,113,0.8191623849037931,transition
030h_KwNm-g_000003,114,0.9389607525017866,B_close
04QV0Xi5YTk_000030,115,0.7081066956852697,B_close
052VMqTM4Xs_000000,116,0.9785766427074267,B_close
064Ilsz8Fzg_000051,117,0.9047586677412214,B_close
06si40RVDco_000030,118,0.8765515496529895,B_close
076qdKSC8nU_000030,119,0.9583858578993126,transition
077aWlQn6XI_000030,120,0.8246651557312514,transition
09NfjFeq2cs_000078,121,0.0,B_close
09pZj6CEvRw_000250,122,0.8719914548496907,B_close
0CEsVHHkwww_000030,123,0.9961744229003584,B_close
0CzC0-cXe8M_000030,124,0.9383745351152082,B_close
0Dt2-TtqvJU_000030,125,0.8888273098167356,B_close
0E6KS8B6DMc_000540,126,0.9595773625245785,A_ogl_help
0EOQco76eXQ_000030,127,0.8936569443074491,B_close
0F04c_rY4aw_000000,128,0.9346870604315856,B_close
0FEd3Pd-ksw_000397,129,0.9426348720913711,transition
0FHSJnza9P8_000046,130,0.9617891483647231,B_close
0G50t4FlbIA_000060,131,0.9455528493787733,B_close
0H814XXq-WQ_000030,132,0.7639471759431005,transition
0HBJuYt2Eys_000032,133,0.9312923367672618,B_close
0HXYdGGKV2k_000030,134,0.919077916803347,B_close
0IqPUUWnnd8_000085,135,0.869581971255062,B_close
0Iy18mslB4A_000170,136,0.9365332170892676,B_close
0IzhjqyDzt8_000000,137,0.9487048365524847,A_ogl_help
0JkiTl-4B5E_000017,138,0.9693294094706175,B_close
0K92tp-4GEk_000108,139,0.9792649046990557,B_close
0LwSy-xZSPw_000112,140,0.9278079304007151,transition
0MU2SG5ME1E_000016,141,0.9891425639519267,transition
0N0C0Wbe6AI_000030,142,0.8586585948450665,B_close
0NIE-eDk92M_000029,143,0.981377476509291,B_close
0NLXz4JgvcQ_000096,144,0.9849059381316626,B_close
0NQXsEwBqAk_000136,145,0.9005365018724906,transition
0O-gZoirpRA_000030,146,0.8937765039702935,C_aud_better
0OH28bnOdEE_000058,147,0.9071775025267741,C_aud_better
0OLYyjqNdn4_000352,148,0.9279898927736847,B_close
0Olm321vgk8_000030,149,0.9884521973596372,B_close
0PHUQku2P5I_000050,150,0.9553494021354333,transition
0QSPtpp1HN8_000030,151,0.9213553196930562,C_aud_better
0QabiRBcEKc_000050,152,0.9614074049766675,transition
0RZRFj7zDnQ_000030,153,0.9681865569428862,B_close
0Rqa18lmDtw_000153,154,0.8505286389900002,B_close
0T966F09Q_8_000000,155,0.9682365276730291,transition
0TSOlaZXXM8_000080,156,0.8028118245203757,B_close
0U9_6RyH3_M_000030,157,0.0,transition
0UF1FHDPM1A_000030,158,0.9065520255342755,C_aud_better
0UeEkqkZmvo_000160,159,0.9750262452779723,B_close
0W1En_XsDnM_000000,160,0.815997630524175,C_aud_better
0W_wPc-zV3I_000101,161,0.9947230723015952,B_close
0Wkk9iNzA9c_000030,162,0.9170817970201958,B_close
0Wxl_LzqguI_000288,163,0.9532734622946374,B_close
0XDEooC1h7s_000000,164,0.9739955453135279,transition
0YTieIiZNN4_000010,165,0.9691090535602754,A_ogl_help
0ZxpQ87jdgQ_000037,166,0.944274252660797,B_close
0_9-dbUW0hU_000030,167,0.7595220838610789,B_close
0_B2YnBAz3A_000220,168,0.9645769867026232,B_close
0apGJGFHQO4_000067,169,0.8590029218927835,transition
0bBJkY4_zs8_000033,170,0.9118294643846029,B_close
0bobzCB2ObQ_000076,171,0.8231396764859056,B_close
0eA2QcSRgh0_000063,172,0.9118071192503239,B_close
0eDN0YmnJRY_000002,173,0.9883969084723241,B_close
0g_-KI5NZ-E_000030,174,0.9593979798487778,B_close
0glBUluF4Yk_000175,175,0.9518010881553167,B_close
0hfU27A6tus_000070,176,0.8783790494717361,transition
0hjqlmdPT6g_000050,177,0.8118049186030691,B_close
0iX0QmnbrK4_000085,178,0.8793992345723538,transition
0jy-sVREk4o_000030,179,0.9281031115226069,A_ogl_help
0kQkVbOikzQ_000004,180,0.9446539816775125,B_close
