scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
144k,flickr,0,10000130166,_,3.7736797366960673e-06,4.156607701588655e-06,2.4939286049630027e-06,1.3665902542925323e-06,3.800033482548315e-06,1.8405681885269587e-06,2.147096211047028e-06,2.4956348170235287e-06,1.7778804703993956e-06,1.3665902542925323e-06,2.972404047341115e-07,2.3787272311892593e-06,1.1273383506704704e-06,0.6875,0.5,False,0.4277239143848419,"[38, 172, 145, 212]","[""10409146004"", ""3403348616"", ""2462141223"", ""5220919991""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,1,10007936344,_,7.885319064371288e-06,2.8159442081232555e-05,1.3091803339193575e-05,9.396848327014595e-06,2.5107508918154053e-05,9.684295037004631e-06,1.2476481970224995e-05,1.6908787074498832e-05,1.0849133104784414e-05,9.396848327014595e-06,1.3762964954366907e-06,1.731030897644814e-05,3.69495501217898e-06,0.0,0.0,False,0.3852751553058624,"[38, 246, 228, 149]","[""10409146004"", ""9309351423"", ""6185482260"", ""2542659118""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,2,10008553263,_,6.846737960586324e-06,6.57093187328428e-06,5.375243745220359e-06,4.56372936241678e-06,7.71923441789113e-06,1.7927491171576548e-06,5.772424628958106e-06,6.314567599474685e-06,5.2854884415864944e-06,4.56372936241678e-06,4.4006867483403767e-07,1.2854434316977859e-06,8.115143828035798e-07,0.34375,0.5,False,0.8043742775917053,"[22, 126, 1, 28]","[""10129813456"", ""15210828119"", ""10007936344"", ""10234680056""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,3,10009662863,_,5.479034371091984e-06,1.9462653654045425e-05,8.795111170911696e-06,8.795111170911696e-06,1.8417686078464612e-05,5.9719359342125244e-06,1.2460265679692384e-05,1.4187115084496327e-05,1.0461983038112521e-05,8.795111170911696e-06,1.3015567219554214e-06,9.000670615932904e-06,0.0,0.0,0.0,False,0.5375414490699768,"[200, 214, 134, 225]","[""4717096777"", ""5303633386"", ""16563757295"", ""6067281197""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,4,10013411946,_,2.0114013750571758e-05,2.031403528235387e-05,1.739301842462737e-05,5.750946911575738e-06,1.6765034160926007e-05,6.038388619344914e-06,8.933462595450692e-06,1.1594594070629682e-05,7.1031295192369726e-06,5.750946911575738e-06,1.3793802509098896e-06,1.3210905308369547e-05,1.1642071513051633e-05,0.65625,0.25,False,0.3496660888195038,"[205, 6, 103, 52]","[""4938432980"", ""10031203703"", ""12729873904"", ""10545790805""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,5,10016382545,_,1.0164774721488357e-05,3.356692832312547e-05,1.1287072084087413e-05,7.092804480635095e-06,3.590225969674066e-05,1.8775632270262577e-05,1.3565392691816669e-05,2.2918504328117706e-05,1.0148937690246385e-05,7.092804480635095e-06,2.379119450779399e-06,2.341798972338438e-05,4.194267603452317e-06,0.0625,0.0,True,0.3023492991924286,"[24, 216, 64, 85]","[""10165890496"", ""5480070309"", ""10701841844"", ""11314266424""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,6,10031203703,_,1.9928875190089457e-05,1.948969656950794e-05,1.5312742107198574e-05,4.7665248530393e-06,1.9420065655140206e-05,6.20686796537484e-06,1.1447068573033903e-05,1.527631866338197e-05,8.43469115352491e-06,4.7665248530393e-06,2.3558500288345385e-06,1.1055005415983032e-05,1.0546216799411923e-05,0.5,0.5,False,0.43277692794799805,"[246, 231, 10, 176]","[""9309351423"", ""6669466181"", ""10061269855"", ""3535748358""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,7,10035917404,_,1.8286767954123206e-05,3.239557918277569e-05,2.352780029468704e-05,7.886959792813286e-06,3.1934781873133034e-05,1.5161888768489007e-05,1.5482102753594518e-05,2.284971378685441e-05,1.029777467920212e-05,7.886959792813286e-06,2.883141632992192e-06,2.209780359407887e-05,1.5640840501873754e-05,0.125,0.0,True,0.3178759217262268,"[16, 153, 52, 245]","[""10109936483"", ""2766580444"", ""10545790805"", ""9060997789""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,8,10045181004,_,8.309461918543093e-06,3.459076651779469e-06,2.024115929089021e-06,1.963414433703292e-06,4.378538505989127e-06,2.1983332771924324e-06,2.3946274723130045e-06,2.9694247132283635e-06,2.1602174911095062e-06,1.963414433703292e-06,1.7441956856600882e-07,1.2988591606699629e-06,6.070149538572878e-08,0.90625,1.0,False,0.624506950378418,"[110, 185, 88, 93]","[""13721325644"", ""3828103578"", ""11765015695"", ""12066557153""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,9,10060697266,_,1.8661523426999338e-05,3.0250748750404455e-05,2.1487358026206493e-05,1.2305698874115478e-05,2.8752150683430955e-05,1.1493029887787998e-05,1.568942388985306e-05,2.1340243620215915e-05,1.3721550203626975e-05,1.2305698874115478e-05,1.3887837440051953e-06,1.652919854677748e-05,9.181659152091015e-06,0.21875,0.0,True,0.45359373092651367,"[23, 189, 52, 89]","[""10163352444"", ""4007045926"", ""10545790805"", ""11776645404""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,10,10061269855,_,7.525703495048219e-06,1.0712785297073424e-05,7.5845728133572266e-06,3.238742237954284e-06,8.651374628243502e-06,3.626189709393657e-06,4.155690021434566e-06,6.15906719758641e-06,3.827791260846425e-06,3.238742237954284e-06,3.544311937275779e-07,6.884994036226999e-06,4.345830348029267e-06,0.40625,0.0,True,0.35731056332588196,"[203, 151, 63, 198]","[""4767923306"", ""2695985181"", ""10667001125"", ""4646464908""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,11,10067897816,_,7.423278293572366e-05,9.391634375788271e-05,7.980119698913768e-05,6.0986465541645885e-05,9.825117740547284e-05,1.7880622181110084e-05,8.005323616089299e-05,8.794684981694445e-05,7.29825915186666e-05,6.0986465541645885e-05,7.143436050682794e-06,2.093375223921612e-05,1.8814731447491795e-05,0.03125,0.0,True,0.7771021127700806,"[190, 205, 121, 193]","[""4041216001"", ""4938432980"", ""14680986811"", ""4351373013""]","[""_"", ""_"", ""_"", ""_""]"
