scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
10k,flickr,224,5991393107,_,3.5224038583692163e-06,3.4428339859005064e-06,2.9402913241938222e-06,2.2634528704656987e-06,3.0609985515184235e-06,5.020977482672606e-07,2.5305666895292234e-06,2.7830055842059664e-06,2.3922475520521402e-06,2.2634528704656987e-06,1.218221967747013e-07,1.0505864338483661e-06,6.768384537281236e-07,0.875,0.75,False,0.694848358631134,"[122, 138, 51, 1]","[""14742398172"", ""17140316339"", ""10520382525"", ""10007936344""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,225,6067281197,_,4.092738436156651e-06,4.3782315515272785e-06,3.65088158105209e-06,3.0818448522040853e-06,4.222884854243603e-06,6.147043336568458e-07,3.4597314879647456e-06,3.826442025456345e-06,3.3281869491474936e-06,3.0818448522040853e-06,1.457533898019392e-07,1.050044602379785e-06,5.690367288480047e-07,0.53125,0.5,False,0.7601669430732727,"[53, 49, 175, 220]","[""10548273474"", ""10477544895"", ""3484198977"", ""5697766486""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,226,6098668510,_,1.2868813428212889e-06,1.2975232266398962e-06,1.217227350025496e-06,8.488770504300192e-07,1.1891781923623057e-06,1.625349455025571e-07,1.012607413031219e-06,1.0716910310293315e-06,9.618399872124428e-07,8.488770504300192e-07,6.560109255815405e-08,3.3568323942745337e-07,3.6835029959547683e-07,0.75,0.5,False,0.7412891983985901,"[48, 36, 8, 6]","[""10476446674"", ""10369815925"", ""10045181004"", ""10031203703""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,227,6158154336,_,1.1408328646211885e-06,1.2419725408108206e-06,9.615704357202048e-07,7.694313239881012e-07,1.1077925137215061e-06,2.133149479277563e-07,8.23679158656887e-07,8.973471494755358e-07,7.988276706782926e-07,7.694313239881012e-07,1.9655027827525373e-08,4.43144870132528e-07,1.9213911173210363e-07,0.5,0.25,False,0.643192708492279,"[35, 98, 75, 33]","[""10308472565"", ""12444360833"", ""10939270325"", ""10289643764""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,228,6185482260,_,7.122900456124626e-07,6.85155782775837e-07,6.093573574617039e-07,5.604721877716656e-07,7.335688110288174e-07,7.34467349161605e-08,6.594058277187287e-07,6.738703177688876e-07,6.205493150446273e-07,5.604721877716656e-07,3.966572492686282e-08,6.46064677312097e-08,4.888516969003831e-08,0.34375,0.75,False,0.905705451965332,"[198, 29, 202, 234]","[""4646464908"", ""10246013484"", ""4758950312"", ""7178293884""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,229,6289328021,_,1.0198511972703272e-06,1.2034090559609467e-06,9.851322602116852e-07,7.80299274083518e-07,1.2113609955122229e-06,2.8029012355546e-07,9.164396601590852e-07,9.843211046245415e-07,8.314790989061294e-07,7.80299274083518e-07,5.442230488483801e-08,3.7192995705481735e-07,2.0483298612816725e-07,0.3125,0.25,False,0.6909363865852356,"[220, 2, 118, 138]","[""5697766486"", ""10008553263"", ""14648401332"", ""17140316339""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,230,6458319057,_,1.910064383991994e-05,1.858933683251962e-05,1.614663051441312e-05,1.440397863916587e-05,1.9280501874163747e-05,2.8874924282717984e-06,1.4910808204149362e-05,1.743344728311058e-05,1.4604971511289477e-05,1.440397863916587e-05,1.9575361420720583e-07,3.984365321230143e-06,1.7426518752472475e-06,0.4375,0.5,False,0.7856639623641968,"[113, 161, 239, 78]","[""14172932360"", ""2897653916"", ""7740990330"", ""10980225216""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,231,6669466181,_,8.33413560030749e-06,9.24173764360603e-06,9.053335816133767e-06,7.50021354178898e-06,9.336218681710307e-06,9.627319741412066e-07,8.115728633129038e-06,8.54116296977736e-06,7.806907888152637e-06,7.50021354178898e-06,2.2995612880549743e-07,1.4348297554533929e-06,1.553122274344787e-06,0.21875,0.0,True,0.8447445631027222,"[136, 118, 90, 187]","[""16804898716"", ""14648401332"", ""12015590114"", ""3908875350""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,232,6755812421,_,1.0485781785973813e-05,1.1596544936764985e-05,9.107538062380627e-06,9.107538062380627e-06,1.1619171345955692e-05,1.3192550341045717e-06,9.614134796720464e-06,1.0641244443831965e-05,9.383684300701134e-06,9.107538062380627e-06,1.7101264404573158e-07,2.2128606360638514e-06,0.0,0.21875,0.25,False,0.8091793060302734,"[96, 46, 142, 211]","[""12328837165"", ""10468313544"", ""2401957951"", ""5194793239""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,233,6897499873,_,2.622057309054071e-06,2.4961882445495576e-06,2.104487066389993e-06,2.0651395971071906e-06,2.849424845408066e-06,4.4539658006215177e-07,2.232724000350572e-06,2.5446774998272303e-06,2.145691951227491e-06,2.0651395971071906e-06,6.45970175128241e-08,3.504962933220668e-07,3.9347469282802194e-08,0.3125,0.75,False,0.8595873713493347,"[221, 192, 65, 147]","[""5801923729"", ""4303617148"", ""10743985374"", ""2499673064""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,234,7178293884,_,2.472076516824018e-07,2.48037395067513e-07,1.7373179161950247e-07,1.7373179161950247e-07,2.473006759373675e-07,4.037109135879291e-08,2.0083447793695086e-07,2.224970501174539e-07,1.8759270403734263e-07,1.7373179161950247e-07,1.1754904605254524e-08,6.044469103017036e-08,0.0,0.5,0.5,False,0.7563081383705139,"[78, 85, 37, 5]","[""10980225216"", ""11314266424"", ""10389014583"", ""10016382545""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,235,7387939334,_,4.1512098505336326e-06,3.5281946111354046e-06,3.242347474952112e-06,3.1426563964487286e-06,3.69860254068044e-06,4.252533187809604e-07,3.271489958933671e-06,3.316169795652968e-06,3.229617732358747e-06,3.1426563964487286e-06,5.12890245829567e-08,2.985768787766574e-07,9.969107850338332e-08,0.8125,0.75,False,0.9153740406036377,"[54, 175, 35, 80]","[""10549911663"", ""3484198977"", ""10308472565"", ""11036641226""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,236,7560517176,_,6.142459369584685e-06,6.380540980899241e-06,5.861169938725652e-06,5.051781045040116e-06,6.200778898346471e-06,5.883312041987665e-07,5.327528469933895e-06,5.820693331770599e-06,5.2141772357572336e-06,5.051781045040116e-06,1.0747325518423168e-07,1.1663637451420072e-06,8.093888936855365e-07,0.46875,0.5,False,0.8171998858451843,"[10, 53, 74, 189]","[""10061269855"", ""10548273474"", ""10862172945"", ""4007045926""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,237,7623513024,_,1.4774537930861698e-06,2.445363861625083e-06,1.6122372699101106e-06,1.433411398465978e-06,2.2156209524837323e-06,6.30113333954796e-07,1.6152782791323261e-06,1.6930732726905262e-06,1.5534648127868422e-06,1.433411398465978e-06,7.039818683551857e-08,8.918990488382406e-07,1.7882587144413264e-07,0.03125,0.0,True,0.6352694034576416,"[232, 246, 142, 68]","[""6755812421"", ""9309351423"", ""2401957951"", ""10771238614""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,238,7733838448,_,4.937816811434459e-06,4.771118256030604e-06,4.315897967899218e-06,3.5797804684989387e-06,4.557913598546293e-06,5.661709678861371e-07,3.918386937584728e-06,4.209564394841436e-06,3.778488917305367e-06,3.5797804684989387e-06,1.2075247468601447e-07,9.926293387252372e-07,7.361174994002795e-07,0.75,0.75,False,0.7919504046440125,"[216, 150, 207, 165]","[""5480070309"", ""2630218696"", ""4965189170"", ""3012435981""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,239,7740990330,_,1.7743267335390556e-06,1.6559639561819495e-06,1.4242789347918006e-06,1.356335133095854e-06,1.7872721400635783e-06,2.8682180186478945e-07,1.4741544873686507e-06,1.5503794656979153e-06,1.420308876731724e-06,1.356335133095854e-06,4.1740719325389364e-08,2.3565507945022546e-07,6.79438016959466e-08,0.5,0.5,False,0.8576931357383728,"[100, 214, 88, 215]","[""12534178685"", ""5303633386"", ""11765015695"", ""5344317532""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,240,7897462346,_,6.284345545282122e-06,6.972125447646249e-06,6.344433131744154e-06,5.108389814267866e-06,6.610195669054519e-06,8.335832717420999e-07,5.7483507589495275e-06,6.059502084099222e-06,5.47541549167363e-06,5.108389814267866e-06,2.4010790866668685e-07,1.4967099559726194e-06,1.2360433174762875e-06,0.4375,0.0,True,0.7853294610977173,"[66, 245, 220, 223]","[""10751849775"", ""9060997789"", ""5697766486"", ""5906878321""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,241,8250285374,_,2.4259161364170723e-06,1.3730978025705554e-06,1.134299736804678e-06,1.0978159252772457e-06,1.637420382394339e-06,3.154045487008261e-07,1.2305366681175656e-06,1.4009964388606022e-06,1.1622615829764982e-06,1.0978159252772457e-06,4.948630660805975e-08,2.1083621959405718e-07,3.648381152743241e-08,1.0,1.0,False,0.8464521765708923,"[229, 6, 16, 219]","[""6289328021"", ""10031203703"", ""10109936483"", ""5607310495""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,242,8294094053,_,2.0809889065276366e-06,1.9107862954115262e-06,1.4399236079043476e-06,1.2417522157193162e-06,1.8342665271120495e-06,3.629764648849232e-07,1.3443410580293857e-06,1.505426553194411e-06,1.2867551504314179e-06,1.2417522157193162e-06,3.649864055432772e-08,6.240311449801084e-07,1.9817139218503144e-07,0.75,0.5,False,0.6734165549278259,"[4, 106, 201, 225]","[""10013411946"", ""13409856383"", ""4755507106"", ""6067281197""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,243,8311669586,_,2.5234510303562274e-06,1.992793386307312e-06,1.6928117929637665e-06,1.1716449535015272e-06,1.9347917259437963e-06,4.035531162571715e-07,1.3837299093211186e-06,1.6685942227923078e-06,1.2980977999177412e-06,1.1716449535015272e-06,8.16577525597495e-08,6.94695586389571e-07,5.211668394622393e-07,0.90625,1.0,False,0.6513960957527161,"[1, 212, 199, 70]","[""10007936344"", ""5220919991"", ""4657718822"", ""10796050285""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,244,8396975855,_,2.032485326708411e-06,1.7742008822096977e-06,1.647245994718105e-06,1.4085633210925153e-06,1.6878107089723926e-06,1.597967269617584e-07,1.484969175180595e-06,1.585595555297914e-06,1.4456683175012586e-06,1.4085633210925153e-06,2.6737598801673812e-08,3.2853256470843917e-07,2.386826736255898e-07,1.0,1.0,False,0.8148278594017029,"[102, 81, 137, 247]","[""12599965145"", ""11050409385"", ""16950760048"", ""9456627660""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,245,9060997789,_,7.249896043504123e-06,7.462174835382029e-06,6.308612682914827e-06,5.048344519309467e-06,8.142559636326041e-06,1.845744691308937e-06,6.180421223689336e-06,6.708811724820407e-06,5.593445621343562e-06,5.048344519309467e-06,5.07808806560206e-07,1.868729214038467e-06,1.2602681636053603e-06,0.375,0.25,False,0.7495731115341187,"[232, 28, 84, 121]","[""6755812421"", ""10234680056"", ""11154049584"", ""14680986811""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,246,9309351423,_,6.848626526334556e-06,7.81898052082397e-06,6.899077561683953e-06,5.897190476389369e-06,7.338971954595763e-06,9.383454653288936e-07,6.249407306313515e-06,6.6912425609189086e-06,6.1526397985289805e-06,5.897190476389369e-06,1.4760789213141834e-07,1.66634072229499e-06,1.0018870852945838e-06,0.3125,0.0,True,0.786885142326355,"[68, 222, 147, 177]","[""10771238614"", ""5873098388"", ""2499673064"", ""3568893693""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,247,9456627660,_,2.379397074037115e-06,2.2581052689929493e-06,1.9052126845053863e-06,1.295599417971971e-06,1.859929398051463e-06,3.7932358054604265e-07,1.3409306802714127e-06,1.554564278194448e-06,1.3167273209546693e-06,1.295599417971971e-06,1.3602257098455084e-08,9.4137794803828e-07,6.096132665334153e-07,0.9375,0.75,False,0.583111584186554,"[32, 67, 244, 45]","[""10283938426"", ""10761625676"", ""8396975855"", ""10451898725""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,248,9636000842,_,9.729214070830494e-06,7.652967724425253e-06,6.810912054788787e-06,6.592681984329829e-06,7.806913345120847e-06,6.362790827552089e-07,7.10461063135881e-06,7.4365284490340855e-06,6.866513103886973e-06,6.592681984329829e-06,1.8883810071201879e-07,7.864546205382794e-07,2.1823007045895793e-07,0.96875,1.0,False,0.8972353339195251,"[72, 195, 231, 182]","[""10847897294"", ""4479260803"", ""6669466181"", ""3749326537""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,249,9761803312,_,2.6100042305188254e-06,1.979326270884485e-06,1.5353875824075658e-06,1.5353875824075658e-06,2.258085714856861e-06,5.07256686432811e-07,1.6781322074166383e-06,1.8587110162116005e-06,1.6058509118010988e-06,1.5353875824075658e-06,5.1459256411590104e-08,3.7347535908338614e-07,0.0,0.71875,1.0,False,0.8113119006156921,"[201, 78, 165, 43]","[""4755507106"", ""10980225216"", ""3012435981"", ""10441843213""]","[""_"", ""_"", ""_"", ""_""]"
