epoch,learning_rate,epoch_seconds,loss_aud_coarse,loss_aud_equiv,loss_img_coarse,loss_total,mean_valid_ratio,skipped_small_overlap_samples,actual_flip_ratio,mean_crop_scale,grad_norm_aud,grad_norm_img,grad_norm_ratio,grad_cosine,negative_grad_cosine_ratio,gradient_diagnostic_batches,aud_l4_ciou,aud_l4_auc,aud_fine_ciou,aud_fine_auc,img_l4_ciou,img_l4_auc,img_fine_ciou,img_fine_auc,iqr_fine_ciou,iqr_fine_auc
1,5e-05,13.981597185134888,5.196982060741179e-05,0.0005312718000286856,7.043801862239026e-05,0.0006536796423367774,0.6613852442839206,0,0.49499198717948717,0.7765732086621798,6.730750125000175e-05,5.716246657928326e-05,0.8397378682402832,-0.6280901861727806,1.0,2,0.4015122140364482,0.40737689026754553,0.40286932919736335,0.40886002326483134,0.4063590538968592,0.4093544009305933,0.40926715781310585,0.4109538580845289,0.40732842186894147,0.41010081426909656
2,5e-05,12.574182271957397,5.579641966062646e-05,0.0005029326921197561,5.695993268790726e-05,0.0006156890482928317,0.6619407259500943,0,0.4980969551282051,0.7780380340722891,7.493386260057067e-05,7.135875106892867e-05,0.9630067862532012,-0.776226847536708,1.0,2,0.4015122140364482,0.40737689026754553,0.4063590538968592,0.41048856145792945,0.4063590538968592,0.4093544009305933,0.4156649864288484,0.41356145792943005,0.4133385032958511,0.41240791004265226
3,5e-05,12.605977058410645,7.153837904274368e-05,0.00045838784307050397,5.5161927892372776e-05,0.0005850881466474861,0.6626372536023458,0,0.5029046474358975,0.7779760162035624,7.51041389025669e-05,5.9701840923283396e-05,0.7966294308744757,-0.8053558539718244,1.0,2,0.4015122140364482,0.40737689026754553,0.4032570763861962,0.41057580457541687,0.4063590538968592,0.4093544009305933,0.4129507561070182,0.41243699108181464,0.40946103140752227,0.41219464908879416
4,5e-05,12.641013622283936,7.965460211450521e-05,0.00044052766483778565,5.137754282585751e-05,0.0005715598101512744,0.6635315418243408,0,0.49819711538461536,0.7800724475811689,7.540578927022874e-05,6.280924515357955e-05,0.8351593716875934,-0.7342050683970139,1.0,2,0.4015122140364482,0.40737689026754553,0.40383869716944554,0.4106436603334626,0.4063590538968592,0.4093544009305933,0.40984877859635516,0.41150639782861576,0.40868553702985655,0.4116614967041489
5,5e-05,12.391396522521973,8.643114135618537e-05,0.00043278657876026747,4.960730289801573e-05,0.0005688250202160233,0.6616576237556262,0,0.5052083333333334,0.7775517946634537,7.975699763456266e-05,5.967814360578675e-05,0.7656393652613122,-0.7467808547471846,1.0,2,0.4015122140364482,0.40737689026754553,0.40442031795269484,0.41090538968592477,0.4063590538968592,0.4093544009305933,0.4084916634354401,0.41092477704536645,0.4079100426521908,0.4113997673516867
